web_scraper_order,product,variant,comment,created_at,reason
1773397937-36,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,Hàng dởm ko phải hàng chính hãng,2026-03-10 20:07,Chất lượng sản phẩm kém
1773397937-39,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,PURE BLEND-Hồng da,"Từ chất son tới màu đều rất tệ. Son đằng son, môi đằng môi.",2026-03-09 14:05,Chất lượng sản phẩm kém
1773397937-40,"3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE",VelvetPlush-Apricot,Đánh giá 1s vì maketing xem thường phụ nữ,2026-03-09 13:30,Khác / Không rõ
1773397937-42,"3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE",Glazy Lip Glow-#40,"Mình không đánh giá chất lượng, mình đánh giá đạo đức làm nghề của team truyền thông 3CE Việt Nam!",2026-03-09 12:13,Chất lượng sản phẩm kém
1773397937-45,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,"Son không lên màu, đánh son xong như chưa đánh",2026-03-09 08:16,Chất lượng sản phẩm kém
1773397937-47,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),OPAL SHOWER-Hồng,"Trên ảnh hãng có ghi màu này hợp làm “Topper” tức là phủ lên trên cho hiệu ứng trong lại thui nhưng mô tả thì k ghi 😏 Vì làm topper nên màu rất sheer, chủ yếu đóng vai trò gloss bóng môi chứ k tạo cảm giác nude như hình Có 1.7g tức là ít quá ít, chất son này dùng lại hao, mua sale còn 2xx mà vẫn thấy đắt quá so với chất lượng cũng như khối lượng Chắc là chê nhất trong các sp từng dùng của 3CE, quá là k đáng số tiền bỏ ra",2026-03-08 21:20,Chất lượng sản phẩm kém
1773397937-48,Son kem bùn mịn lì 3CE Hazy Lip Clay,TYPEGIRL-Hồng lựu,Hơn 1 tháng không thấy shop gửi hàng trả lại cho mình,2026-03-08 20:02,Chất lượng sản phẩm kém
1773397937-49,Son bóng dưỡng môi 3CE GLAZY LIP GLOW,#38 SALTY SWEET,"Xấu, sp k như mô tả, hoàn tiền lỉnh kỉnh, 1 sao đã ủng hộ nhiều mà lần này thất vọng 🙂",2026-03-08 19:17,Khác / Không rõ
1773397937-51,(GWP) 3CE Túi Đựng Mỹ Phẩm,,It is so small. That it almost feels like there isn’t really a gift included.,2026-03-08 15:20,Khác / Không rõ
1773397937-52,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,PURE LAYER-Hồng cam,"Shop bán hàng quá tệ, mua thử 1 cây son mà cũng soạn sai màu,thật khó chấp nhận, thấy bán hàng nhiều tưởng chuyên nghiệp. Đã không có nhiều thời gian mới mua hàng online mà còn nhận sai hàng.",2026-03-08 10:26,Thiếu hàng / sai sản phẩm
1773397937-53,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,ROSINESS-Hồng khô,1sao vì làm content xúc phạm phụ nữ,2026-03-08 09:58,Khác / Không rõ
1773397937-54,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,Trung Tính - N1.5,"Cushion bị khô, ko mướt, không che đc khuyết điểm, không kiềm dầu. Không biết có lợi gì về cái cushion này với giá 445k. Shop còn lên content nhục mạ phụ nữ, thật ko xứng đáng là 1 hãng nổi tiếng ở VN",2026-03-10 11:39,Chất lượng sản phẩm kém
1773397937-55,(GWP) 3CE Túi Đựng Mỹ Phẩm,,Trải nghiệm k mấy vui,2026-03-08 08:32,Khác / Không rõ
1773397937-56,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Tg chất son mềm mịn. Ai có dè n vừa bóng mà lại khô. Ám ảnh luôn trời.,2026-03-08 08:32,Chất lượng sản phẩm kém
1773397937-58,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#07 Dusky Pink,"Son dùng thù cũng được, nhưng vẫn rate 1* vì quả campaign cổ xuý bạo lực phụ nữ",2026-03-07 22:24,Khác / Không rõ
1773397937-60,"3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE",Faceblush-MapleToast,Nhận hàng khui seal ra thì thấy sản phẩm bị quẹt một đường cọ trên mặt phấn m đơ luôn xịt keo luôn Máy t dỏm không chụp cận nét được chứ ở ngoài nhìn là rõ bị quẹt cọ thử màu xong dán seal vào thật là ối dồi ôi. Máy t mà xịn là chụp cho ce nhìn rõ hơn được rồi không ngờ nhận được đơn hàng đểu z chắc do t xui ui,2026-03-07 21:11,Chất lượng sản phẩm kém
1773397937-61,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,YOUR SIDE-Hồng đất,Son đánh lên môi k ăn môi xíu nào.. Lại còn bị bở nữa.. Nhanh trôi.. Ncl chán,2026-03-07 20:37,Chất lượng sản phẩm kém
1773397937-62,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Slick,Mk chỉ có 1 thắc mắc mk mua qua live c hanna nên mk rất tin tg nhưng khi nhận hàng mk lại thấy chữ made in china mà trong khi 3ac là của hàn quốc mk rất hỏi chấm về nguồn gốc sp,2026-03-07 19:28,Không giống mô tả / quảng cáo
1773397937-63,(GWP) 3CE Velvet Plush Mini SU,,Có gửi quà tặng đâu. Bịp,2026-03-07 17:42,Khác / Không rõ
1773397937-67,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Lazy Talk,"Vừa mua má hồng xong thì thấy quảng cáo blgd của 3CE. Bị cái gì vậy trời?? Từ một người đã trải qua blgd, tôi cảm thấy không vui chút nào. Thân chưa mà giỡn kiểu đó brand ơi",2026-03-07 12:20,Không giống mô tả / quảng cáo
1773397937-68,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,NEWTRO WAVE-Đỏ lạnh,"Khui ra rồi mới biết hàng bị lỗi, hoàn hàng thì không thành công vì lí do “hàng đã bị khui”. Nếu không khui thì sao biết được hàng bị lỗi mà hoàn??",2026-03-06 23:48,Dịch vụ CSKH kém
1773397937-69,(GWP) 3CE Velvet Plush Mini MC,,Không tặng nhé mng.,2026-03-06 21:15,Chất lượng sản phẩm kém
1773397937-72,Son bóng dưỡng môi 3CE GLAZY LIP GLOW,#31 LAVENDER CRE,"Mình mua sale 3.3 thấy có tặng son mini kèm. Nhưng nhận hàng thì thiếu, shop lại yêu cầu mình phải liên hệ qua shopee mall để hoàn hàng, đặt lại. Chứ ko chịu ship sản phẩm thiếu? Mình nhắn rất nhiều lần nhưng toàn tin nhắn tự động. Mình ko biết shop có cố ý giao thiếu 1 sản phẩm son ko, để khách hàng phải trả hàng thì mua giá cao hơn, hoặc chấp nhận mất thỏi son để ko phải hoàn hàng.",2026-03-06 21:15,Thiếu hàng / sai sản phẩm
1773397937-73,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Laydown-Hồng trầm,Đặt lay down mà giao pink là sao shop làm ăn gì kì vậy? Đợi mấy ngày cần đi chơi thì lại giao nhầm như vậy!!,2026-03-06 20:28,Thiếu hàng / sai sản phẩm
1773397937-74,Phấn Má Hồng Mịn Lì 3CE Face Blush 5.5g,City Mauve-Hồng,Không nên mua vì shop mall nhưng bán hàng fake,2026-03-06 20:24,Không giống mô tả / quảng cáo
1773397937-75,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Warmth-Cam sữa,Màu lên ko giống hình một chút nào luôn. Chất son bết dính dày môi rất khó chịu. Ko biết có phải bị trộn hàng giả hay ko nữa.,2026-03-06 20:14,Không giống mô tả / quảng cáo
1773397937-79,Son Pha Lê 3CE Misty Lip Bare,06 - Tulip Fuzz,"Ôi cái màu nhạt thôi rồi, thoa như không thoa. Màu son và chất son bình thường",2026-03-06 11:07,Chất lượng sản phẩm kém
1773397937-80,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Từ đầu tưởng được tặng quà, lúc nhận về lại không có, đóng gói chán ghê, hộp không có tem mác, một shop lớn mà cái hộp nhìn như kiểu ai mở ra rồi.",2026-03-05 21:53,Chất lượng sản phẩm kém
1773397937-84,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Laydown-Hồng trầm,"Sốp giao cho mình cây son như đã khui rồi, chỗ seal đã bị cắt, nắp bị tràn son",2026-03-05 20:33,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-86,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Casual Affair-Hồng,"Mua ở live hana olala , rõ là mua đúng khung giờ mà ko đc quà tặng kèm như poster, 1 sao",2026-03-05 18:19,Khác / Không rõ
1773397937-88,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,KNIT-Hồng khô,"Màu lên môi không chuẩn, hồng chói, chất son bột bột, không mịn, màu loang lổ không đều, không bền. Thấy khen nhiều quá mới mua nhưng mà thất vọng tràn trề. Mấy bà mà rảnh môi nhiều thì né cây này liền 😭",2026-03-05 08:03,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-89,"3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE",Faceblush-MapleToast,Đánh giá 1 ⭐️ vì brand chạy chiến dịch marketing xem thường phụ nữ nhé :),2026-03-08 00:39,Khác / Không rõ
1773397937-93,Son bóng dưỡng môi 3CE GLAZY LIP GLOW,#31 LAVENDER CRE,nma mình hơi thắc mắc liệu cnay có ph là son bị gãy k?,2026-03-03 17:51,Chất lượng sản phẩm kém
1773397937-94,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Spot Player-Táo đỏ,Móp méo vỏ,2026-03-03 17:12,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-95,Son Pha Lê 3CE Misty Lip Bare,07 - Sun Pause,Video hình ảnh mang tính chất nhận xu. Hàng giống mô tả. Chất son rất chán. Màu cũng nhạt nhòa dễ phai. Lên môi k đúng màu. Tệ,2026-03-03 13:37,Chất lượng sản phẩm kém
1773397937-97,Son Pha Lê 3CE Misty Lip Bare,05 - Coral Drench,"Sản phẩm lên màu không đẹp, nhanh trôi, khô môi, sản phẩm được seeding lố, nói chung không nên mua",2026-03-02 22:07,Chất lượng sản phẩm kém
1773397937-98,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#21 Heated,"Màu ko đúng thực tế như ảnh. Ship lâu. Nhận hàng về thấy ko đúng màu trả lại ngay sau 5p nhưng shop ko hỗ trợ. Mua ol các bác để ý cẩn thận chứ màu trên này 1 đường nhận 1 nẻo, như màu này thấy nhìn ngoài vỏ và mở cây son là nâu nhiều hơn hồng",2026-03-02 19:46,Thiếu hàng / sai sản phẩm
1773397937-99,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Casual Affair-Hồng,Với giá tiền thì rất ok nhé ạ,2026-03-02 16:54,Khác / Không rõ
1773397937-100,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),MILKY SHADOW-Nâu,Thiết kế bị stupid. Son vặn lên không vặn xuống được nhé ạ. Hên là mình vặn lên kha khá vẫn đậy nắp được không thì không biết sớm là toang r 😀,2026-03-02 16:01,Chất lượng sản phẩm kém
1773397937-101,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,Màu son và ảnh trên hình khác nhau hoàn toàn,2026-03-02 15:48,Khác / Không rõ
1773397937-102,Son Pha Lê 3CE Misty Lip Bare,08 - Chili Flame,Báo sh ko nhận dc hàng nh ko nhận dc hỗ trợ,2026-03-02 13:57,Khác / Không rõ
1773397937-103,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Không đều,2026-03-02 12:21,Chất lượng sản phẩm kém
1773397937-104,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Middy Hype,"Không đều , khập khiễng",2026-03-02 12:21,Chất lượng sản phẩm kém
1773397937-105,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,TEXT ME-Hồng mận,Sao hộp này chông chênh vậy shop,2026-03-02 12:21,Không giống mô tả / quảng cáo
1773397937-106,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,NEWTRO WAVE-Đỏ lạnh,"Màu không như qc,mua xong đc đánh giá thấy bảo son khô,k như ảnh,nghi ngờ hàng fake,hoàn lại nhưng mà bị thất bại,chục hôm rồi vẫn chưa nhận đc hoàn từ shoppe gửi về",2026-03-02 11:45,Không giống mô tả / quảng cáo
1773397937-107,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"Son bị khui ra ròi, thất vọng quá",2026-03-02 10:58,Khác / Không rõ
1773397937-111,Mascara Siêu Mỏng Chống Nước 3CE Super Slim Waterproof Mascara - Black,,"Nói chung trước giờ mua cây này là cây thứ 3 rồi, đến cây thu 3 này thì thấy thất vọng tràn trề, vón cục, quét lên dày mi, vón cục, nản hết sức, trước giờ xài ok, cây thu 2 còn date 1 tháng cũng vón cục, cứ nghĩ sắp hết date nên nó vón cục, ai ngờ đâu, mua cây mới, y chang nhau, chán",2026-03-01 09:43,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-114,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Son Trung Quốc ko bác màu,2026-02-28 12:27,Khác / Không rõ
1773397937-117,Son Pha Lê 3CE Misty Lip Bare,01 - Nude Whisper,"Đánh quả son lên đúg thất vọng. Mà có phải rẻ đâu? Màu số 1 ko lên 1 tí tông nude nào hết, dù đã đánh đến lần thứ 4 thứ 5. Màu ở vid là màu môi của mình, đánh son lên chỉ bóng lên 1 tí, ko hề thay đổi màu. Nchug là ko nên mua.",2026-02-27 16:58,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-118,Son Sáp Màu Mịn Lì 3CE Sketch Stick,07-Burnt Orange,"Cảm nhận ban đầu là cây son k chắc chắn. Kt nhỏ. Để trong túi xách chưa bao lâu thì son đã lệch hẳn so với vỏ, rất dễ bị gãy son. Giờ chỉ mong k bị gãy son thôi",2026-02-27 16:01,Giao hàng chậm
1773397937-120,Son kem lì nhung mịn 3CE Velvet Lip Tint,Walk N Talk-Cam sữa,"Thực sự rất thất vọng về lần mua hàng này với brand. Ngay từ đầu khi mình mua sp trên đơn đã hiển thị quà tặng, nhưng khi đặt đơn hệ thống không đặt được vì không tồn sp. Host trên livestream hướng dẫn mình và các KH khác xoá quà tặng rồi đặt. Tuy nhiên khi nhận hàng thì đơn không có quà tặng luôn. Mình hỏi brand thì nhận được câu trả lời Nếu đủ điều kiện hệ thống sẽ tự hiện quà tặng trong khi mình nói rất rõ ở trên là do Host trên live kiu xoá do ko tồn chung 1 kho nên ko đặt được. Quà tặng ko đáng bao nhiu nhưng mình đánh giá 1* vì cách xử lý của brand cho KH quá tệ.",2026-02-26 19:21,Dịch vụ CSKH kém
1773397937-124,Son kem lì nhung mịn 3CE Velvet Lip Tint,Cashmere Nude-Hồng,"Trải nghiệm mua sắm ko tốt. Màu son ko giống như màu son mình mua ở cửa hàng. Mình trả hàng thì shop ko cho trả, shop làm nhoe nhoét cả son của mình rồi lấy bằng chứng yêu cầu shopee trả lại hàng cho mình lần nữa. Mình nhận lại hàng mà bực mình vì ko bít đã bị qua sử dụng chưa.",2026-02-26 10:33,Khác / Không rõ
1773397937-126,Son Pha Lê 3CE Misty Lip Bare,04 - Pink Scheme,Quá tệ khuyên mọi ngừoi không nên mua không ra cây son vết son loang lỗ k đều màu không bao giờ mua bất kỳ sp nào của 3ce dịnh mua phấn má mà thôi khỏi luôn cạch mặt luôn sẽ hạn chế mua trên shopee vì thái độ không bảo vệ người tiêu dùng. Không biết phải hàng fake không sao chất lượng tệ dữ so với cái son 3 ce của người khác quảng cao trên mạng này kia. Nghi ngờ có sự gian lận,2026-02-25 22:53,Không giống mô tả / quảng cáo
1773397937-128,Son Pha Lê 3CE Misty Lip Bare,09 - Driftwood,Khuyên chân thành là ko nên mua nhà. Review một đường mua về đánh 1 nẻo,2026-02-25 19:50,Không giống mô tả / quảng cáo
1773397937-129,(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store,,Brand tặng gương lỗi,2026-02-25 17:51,Khác / Không rõ
1773397937-130,Son Pha Lê 3CE Misty Lip Bare,05 - Coral Drench,"Mình thấy nó cứ hồng hồng tím tím sao ấy, màu không giống quảng cáo.",2026-02-25 17:26,Không giống mô tả / quảng cáo
1773397937-131,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,"Lần đầu trải nghiệm son 3CE mà thất vọng quá mức. Nhân viên đảm bảo lên màu đẹp, không có ánh tím mà tô lên thâm sì như môi người chết. Được một lúc thì thấy son chuyển ánh tím như điên.",2026-02-25 15:38,Chất lượng sản phẩm kém
1773397937-133,Son Sáp Màu Mịn Lì 3CE Sketch Stick,10-Already Booke,"Nói chung là chất của 3CE đó giờ vậy ròi nhưng mình thắc mắc sao đế son ko dính với son, lắc một hồi là nó tréo nghoe luôn 🤡 dùng cứ thấy lỏng lẻo kiểu gì. Update 4/3: Hôm nay trút ngược cây son mới biết nó gãy dưới chân đế 🤡",2026-03-04 10:15,Chất lượng sản phẩm kém
1773397937-134,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"shop lừa dối khách hàng, trải nghiệm quá tệ, không nên mua",2026-02-25 12:34,Không giống mô tả / quảng cáo
1773397937-136,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,Tệ. Brand nổi tiếng nhưng màu son lên không đúng đỏ cam mà màu hồng cánh sen . Mấy bạn nên cân nhắc kỹ trước khi mua nha,2026-02-24 20:15,Thiếu hàng / sai sản phẩm
1773397937-137,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,NEWTRO WAVE-Đỏ lạnh,Màu đỏ thuần ma nhìn màu như hồng bầm. Hàng mall chính hãng ma không cho đổi trả. Lừa đảo. Kiểu shop bắt buộc phải lấy. Hoàn hàng thì lâu lét. Từ đây không bao giờ mua hàng của shop này và không dùng hãng 3CE nữa.,2026-02-24 15:11,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-139,Son Sáp Màu Mịn Lì 3CE Sketch Stick,05-High Standard,"Không đều màu, dễ vón cục, khô môi",2026-02-24 11:48,Chất lượng sản phẩm kém
1773397937-142,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Bình xịt quá rởm. Mới xịt 1,2 lần đã hỏng tia xịt. Xịt bắn 1 giọt làm cay cả mắt mình. Thất vọng và sẽ ko mua lại. Bực mình thật sự",2026-02-23 17:32,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-143,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Breeze Way-Cam ngọt,"Nói chung là chê Lần trước mình mua 1 thỏi ở showroom dùng rất thích, giờ mua phải loại này chê nha",2026-02-22 23:49,Khác / Không rõ
1773397937-144,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Middy Hype,Mn cho mình hỏi made in china là ntn thế ???? Mua trang chính hãng mấy trăm follow đấy ạ. Cushion kia mình mua cũng của 3CE có made in korea đàng hoàng mà phấn má lại made in china designed by korea là cgi thế hả trời ???? Mua về dùng được hơn chục lần rồi giờ lật ra sau mới để ý vì lúc unbox mua từ shopee mall mà nên có thèm để ý gì đâu. Cho em 1 câu trả lời nhé page :)))),2026-02-22 20:35,Không giống mô tả / quảng cáo
1773397937-145,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Son gây khô môi nhức da môi gây đau rát chảy máu. Không thể sử dụng được lun.,2026-02-22 12:11,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-146,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"Kẻ mắt chưa sd khui ra đã gãy , xịt khoá nền đặt nhầm ko cho trả hàng , sản phẩm kém chất luợng , chăm sóc khách hàng tệ , mua các hãng khác tốt lại rẽ hơn nhiều",2026-02-22 01:24,Thiếu hàng / sai sản phẩm
1773397937-151,Son Sáp Màu Mịn Lì 3CE Sketch Stick,10-Already Booke,Mở ra mở vô 1 2 lần đã rớt ruột. Đổi trả hàng được không ạ? Hãng lớn mà làm ăn mất uy tín quá,2026-02-21 10:00,Hộp méo / sản phẩm hỏng / rò rỉ
